"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"September 18, 2018","South Carolina",Greer,"707 Poplar Dr",3,0,N/A
"September 18, 2018","New Jersey","Jersey City","23 Old Bergen Rd",1,0,N/A
"September 18, 2018",Georgia,Macon,"696 Villa Crest Ave",1,0,N/A
"September 17, 2018",Arizona,"Lake Havasu City","600 block of Beachcomber Blvd",3,0,N/A
"September 17, 2018",Michigan,Detroit,"5200 block of Hillcrest St",1,0,N/A
"September 16, 2018",Pennsylvania,Philadelphia,"200 block of S 57th St",1,0,N/A
"September 14, 2018",Texas,"El Paso","3600 block of Lincoln Ave",3,0,N/A
"September 14, 2018",Massachusetts,Brockton,"Intervale St",1,0,N/A
"September 13, 2018",California,Oakland,"800 block of West Grand Ave",1,0,N/A
"September 13, 2018",Texas,"San Antonio (Leon Valley)","Evers Rd and Forest Moss St",1,0,N/A
"September 12, 2018",Texas,Houston,"89 Casa Grande Dr",1,0,N/A
"September 12, 2018",Illinois,Chicago,"5300 block of S Paulina St",1,0,N/A
"September 9, 2018",Louisiana,"New Orleans","Edinburgh St and Hamilton St",1,1,N/A
"September 9, 2018",Illinois,Chicago,"1900 block of E 74th St",1,0,N/A
"September 8, 2018","South Carolina",Anderson,"Merritt Rd",1,0,N/A
"September 6, 2018",California,"Santa Ana","1000 block of West Richland Ave",1,0,N/A
"September 5, 2018",Kentucky,Louisville,"8003 Glimmer Way",1,0,N/A
"September 5, 2018",Ohio,"Cleveland (Garfield Heights)","4800 block of E 86th St",2,0,N/A
"September 5, 2018","Rhode Island",Providence,"Westminster St and Fricker St",1,1,N/A
"September 4, 2018",Colorado,Loveland,"3000 block of N Duffield Ave",1,0,N/A
"September 4, 2018",Ohio,Cleveland,"E 93rd St and Sophia Ave",1,0,N/A
"September 2, 2018",Illinois,Homewood,"Loomis Ave and 191st St",1,0,N/A
"September 1, 2018",Tennessee,"Coffee (county)",N/A,1,0,N/A
"September 1, 2018",California,Montbello,"1700 block of Ferguson Dr",1,2,N/A
"September 1, 2018",Alabama,Birmingham,"300 block of 80th St N",1,0,N/A
"August 29, 2018",Illinois,Champaign,"Paula Dr and Larkspur Ln",1,0,N/A
"August 29, 2018",Ohio,Hamilton,"800 block of S Front St",1,1,N/A
"August 29, 2018",Ohio,"Cincinnati (Mount Carmel)","4200 block of Beechmont Dr",1,0,N/A
"August 29, 2018",Texas,Houston,"8500 block of E Fwy Service Rd",1,0,N/A
"August 26, 2018","New Mexico",Belen,"2348 NM 47",1,1,N/A
"August 25, 2018",Missouri,"Kansas City","E 68th St and Cleveland Ave",1,0,N/A
"August 25, 2018",Ohio,Columbus,"1700 block of E Rich St",1,0,N/A
"August 25, 2018","South Carolina",Timmonsville,"Byrd St and Tanyard St",1,0,N/A
"August 24, 2018",California,Fairfield,"Bell Avenue and Washington Street",1,1,N/A
"August 24, 2018",Michigan,Detroit,"Seven Mile Road and Pierson",1,1,N/A
"August 22, 2018","South Carolina",Winnsboro,N/A,1,0,N/A
"August 21, 2018",Arkansas,"Lake Village","1379 Sixteen Section Rd",1,0,N/A
"August 21, 2018",Louisiana,"New Orleans","2900 block of Ursula Spencer Way",1,0,N/A
"August 21, 2018",Indiana,Lafayette,"3900 block of Amelia Ave",1,0,N/A
"August 20, 2018",Michigan,"Muskegon (Muskegon Heights)","2500 block of Elwood St",1,0,N/A
"August 19, 2018",Tennessee,Clarksville,"Granny White Rd",1,0,N/A
"August 19, 2018",Illinois,Chicago,"131st St and S Rhodes Ave",2,0,N/A
"August 19, 2018",Illinois,Chicago,"7300 block of S Claremont Ave",1,0,N/A
"August 19, 2018","New York",Utica,"700 block of Elizabeth St",1,0,N/A
"August 18, 2018",Missouri,"Saint Louis","3100 block of N Grand Blvd",1,0,N/A
"August 18, 2018",Tennessee,Hixson,"Cotter Road",1,0,N/A
"August 18, 2018",Louisiana,"New Orleans","3900 block of Sullen Pl",1,0,N/A
"August 18, 2018",Michigan,Eastpointe,"Holland Ave",1,2,N/A
"August 18, 2018",California,Denair,"Service St and Sperry St",1,0,N/A
"August 17, 2018",Illinois,Chicago,"1500 block of S Keeler Ave",1,0,N/A
"August 17, 2018",Texas,Dallas,"4000 block of N Jim Miller Rd",1,1,N/A
"August 16, 2018",Illinois,Chicago,"1 block of N Central Park Ave",1,1,N/A
"August 15, 2018",Texas,Houston,"4603 Sherwood Ln",1,0,N/A
"August 14, 2018",Illinois,Harvey,"14600 block of S Halsted Ave",2,0,N/A
"August 14, 2018",Washington,"Seattle (Burien)","12600 block of 12th Avenue South",1,0,N/A
"August 13, 2018",Virginia,Norfolk,"1300 block of Herbert Collins Way",1,0,N/A
"August 11, 2018","North Carolina","Seven Springs","332 Sanderson Rd",1,0,N/A
"August 11, 2018",California,Tulare,"1110 E Prosperity Ave",1,2,N/A
"August 10, 2018","North Carolina",Robbins,"400 Block of Hussey Rd",1,0,N/A
"August 9, 2018",Ohio,Barberton,"27th Street Northwest",1,0,N/A
"August 9, 2018","New Jersey","Atlantic City","100 block of N Tennessee Ave",1,0,N/A
"August 8, 2018",Texas,"Fort Worth","1700 block of Warren Ln",1,0,N/A
"August 7, 2018",Illinois,Chicago,"100 block of E 124th St",1,1,N/A
"August 6, 2018","North Carolina",Wilson,"4100 block of Huntsmoor Ln",1,0,N/A
"August 6, 2018",Wisconsin,Milwaukee,"1737 N Water St",2,0,N/A
"August 6, 2018",Maryland,"Takoma Park","6733 New Hampshire Ave",1,0,N/A
"August 5, 2018",Indiana,Merrillville,"3944 W 77th Pl",2,0,N/A
"August 5, 2018",Georgia,Riverdale,"7600 Block of Briar Crest Ct",2,0,N/A
"August 5, 2018",Illinois,Chicago,"7600 block of S Union Ave",1,0,N/A
"August 5, 2018",Illinois,Chicago,"1300 block of S Millard Ave",1,5,N/A
"August 4, 2018",Texas,Victoria,N/A,1,0,N/A
"August 3, 2018",Pennsylvania,Philadelphia,"3400 block of H St",1,2,N/A
"August 3, 2018",Delaware,Wilmington,"1300 block of E 27th St",1,0,N/A
"August 2, 2018",Missouri,"Saint Louis","4400 block of Michigan Ave",1,0,N/A
"August 1, 2018",Pennsylvania,Philadelphia,"2901 N 12th St",1,1,N/A
"July 31, 2018",Pennsylvania,Allentown,"533 Harrison Street",1,2,N/A
"July 30, 2018",Ohio,Cincinnati,"2267 Vine St",1,0,N/A
"July 30, 2018",California,Fresno,"4800 block of Holt Ave",2,1,N/A
"July 30, 2018",Missouri,"Saint Louis","2100 block of Switzer Ave",1,1,N/A
"July 28, 2018","North Carolina",Hickory,"1800 block of 13th Ave NE",1,0,N/A
"July 28, 2018",Missouri,"Florissant (Black Jack)","4700 block of Bristol Rock Rd",1,0,N/A
"July 27, 2018","North Carolina",Marion,"Reid St",1,0,N/A
"July 27, 2018",Arkansas,"Benton (Haskell)","Meadow Creek Ct",1,0,N/A
"July 27, 2018",California,Atwater,"1800 block of Dlakely Ave",1,0,N/A
"July 27, 2018",Texas,Robstown,"603 East Avenue J",5,0,N/A
"July 26, 2018",Ohio,"Dayton (Trotwood)","4000 block of Salem Ave",1,0,N/A
"July 26, 2018",Illinois,Chicago,"6900 block of S East End Ave",1,0,N/A
"July 25, 2018",Alabama,Sylacauga,"41310 US-280",1,0,N/A
"July 24, 2018",Texas,Conroe,"1100 S Loop 336",1,0,N/A
"July 24, 2018","New Jersey",Newark,"736 Broadway",1,1,N/A
"July 23, 2018",Texas,Tyler,"1307 W Dobbs St",2,1,N/A
"July 23, 2018",Ohio,Hamilton,"7777 Wildbranch Rd",1,1,N/A
"July 22, 2018",California,"California City","9000 block of Lupine Loop",2,0,N/A
"July 22, 2018",Virginia,Norfolk,"400 block of W 28th St",1,0,N/A
"July 22, 2018",Ohio,Toledo,"500 block of Spring St",1,2,N/A
"July 22, 2018",Oklahoma,Bixby,"16400 block of S 84th E Ave",1,0,N/A
"July 21, 2018",Mississippi,Natchez,"600 Old Washington Rd",1,0,N/A
"July 20, 2018","North Carolina",Wilson,"1602 MLK Boulevard",1,0,N/A
"July 20, 2018",Alaska,"Mountain View","N Bliss St and Parsons Ave",1,0,N/A
"July 18, 2018",Florida,"Boynton Beach","100 block of Arthur Ct",1,0,N/A
"July 18, 2018",Illinois,Chicago,"6700 block of S Winchester Ave",1,0,N/A
"July 17, 2018","New York",Brooklyn,"370 Bushwick Ave",1,1,N/A
"July 17, 2018",Colorado,Littleton,"6019 S Broadway",1,1,N/A
"July 17, 2018",Louisiana,Franklin,"LA 83",2,0,N/A
"July 16, 2018",Pennsylvania,Pittsburgh,"S Dell Way and Penn Ave",1,0,N/A
"July 16, 2018",Pennsylvania,Philadelphia,"2100 block of N 4th St",1,4,N/A
"July 15, 2018","New York",Brooklyn,"Pine St and Blake Ave",1,0,N/A
"July 15, 2018","South Carolina",Charleston,"78 Ashley Hall Plantation Rd",2,0,N/A
"July 15, 2018",California,Carmichael,"4400 block of Manzanita Avenue",1,0,N/A
"July 15, 2018",Ohio,Akron,"Noah Ave and Copley Rd",1,2,N/A
"July 15, 2018",Ohio,Cleveland,"6500 block of Newman Ave",1,0,N/A
"July 15, 2018",Oklahoma,Bethany,"2004 N Wilburn Ave",1,0,N/A
"July 14, 2018",Maryland,"Hyattsville (Landover)","2400 block of Kent Village Dr",1,0,N/A
"July 14, 2018",Illinois,Chicago,"5900 block of W Diversey Ave",1,0,N/A
"July 14, 2018",Kansas,"Garden City","1600 block of E Hwy 50",1,0,N/A
"July 13, 2018",Mississippi,Jackson,"550 block of Naples Rd",1,0,N/A
"July 13, 2018",Texas,Dallas,"9300 block of Havencove Dr",1,0,N/A
"July 13, 2018",Minnesota,Excelsior,"6400 block of Oriole Ave",1,0,N/A
"July 12, 2018",Texas,Houston,"14022 Edgeboro Street",3,0,N/A
"July 12, 2018",Indiana,Indianapolis,"2200 block of Barnor Dr",1,0,N/A
"July 12, 2018",Georgia,Atlanta,"3020 Delmar Ln NW",1,0,N/A
"July 11, 2018",California,"Redondo Beach","700 Esplanade Avenue",3,0,N/A
"July 11, 2018","New York",Brooklyn,"Lewis Ave and Macon St",1,0,N/A
"July 9, 2018",Michigan,Pontiac,"100 block of Willard St",1,0,N/A
"July 8, 2018",Alabama,"Birmingham (Tarrant)","1100 block of Alabama St",1,0,N/A
"July 8, 2018",Alabama,Birmingham,"200 block of Westwood Dr",1,0,N/A
"July 8, 2018",Texas,Lewisville,"200 block of East Oak Knoll Cir",1,1,N/A
"July 7, 2018",Alabama,Wetumpka,"135 Granite Way",3,2,N/A
"July 7, 2018",Pennsylvania,"Upper Darby","500 block of Glendale Rd",1,0,N/A
